15:11:13:596 [ALWAYS]	GUDE Logging Started
15:11:13:596 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:11:13:596 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:11:13:596 [ERROR]	Initialize resume cache pointer failure
15:11:13:596 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
15:11:13:597 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
15:11:16:179 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
15:11:16:179 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
15:11:16:179 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
15:11:16:179 [ERROR]	Initialize resume cache pointer failure
15:11:16:179 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
15:11:16:179 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
